iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
776	258	285	258	340	258	285	340
777	258	285	258	340	258	285	340
778	258	285	258	340	258	285	340
779	258	285	258	340	258	285	340
780	258	285	258	340	258	285	340
781	258	285	258	340	258	285	340
782	258	285	258	340	258	285	340
783	258	285	258	340	258	285	340
784	258	285	258	340	258	285	340
785	258	285	258	340	258	285	340
786	258	285	258	340	258	285	340
787	258	285	258	340	258	285	340
788	258	285	258	340	258	285	340
789	258	285	258	340	258	285	340
790	258	285	258	340	258	285	340
791	258	285	258	340	258	285	340
792	258	285	258	340	258	285	340
793	258	285	258	340	258	285	340
794	258	285	258	340	258	285	340
795	258	285	258	340	258	285	340
796	258	285	258	340	258	285	340
797	258	285	258	340	258	285	340
798	258	285	258	340	258	285	340
799	258	285	258	340	258	285	340
800	258	285	258	340	258	285	340
801	258	285	258	340	258	285	340
802	258	285	258	340	258	285	340
803	258	285	258	340	258	285	340
804	258	285	258	340	258	285	340
805	258	285	258	340	258	285	340
806	258	285	258	340	258	285	340
807	258	285	258	340	258	285	340
808	258	285	258	340	258	285	340
809	258	285	258	340	258	285	340
810	258	285	258	340	258	285	340
811	258	285	258	340	258	285	340
812	258	285	258	340	258	285	340
813	258	285	258	340	258	285	340
814	258	285	258	340	258	285	340
815	258	285	258	340	258	285	340
816	258	285	258	340	258	285	340
817	258	285	258	340	258	285	340
818	258	285	258	340	258	285	340
819	258	285	258	340	258	285	340
820	258	285	258	340	258	285	340
821	258	285	258	340	258	285	340
822	258	285	258	340	258	285	340
823	259	286	259	340	259	286	340
824	259	286	259	340	259	286	340
825	258	285	258	340	258	285	340
826	259	286	259	340	259	286	340
827	259	286	259	340	259	286	340
828	259	286	259	340	259	286	340
829	259	286	259	340	259	286	340
830	259	286	259	340	259	286	340
831	259	286	259	340	259	286	340
832	259	286	259	340	259	286	340
833	258	285	258	340	258	285	340
834	258	285	258	340	258	285	340
835	258	285	258	340	258	285	340
836	258	285	258	340	258	285	340
837	258	285	258	340	258	285	340
838	258	285	258	340	258	285	340
839	258	285	258	340	258	285	340
840	258	285	258	340	258	285	340
841	258	285	258	340	258	285	340
842	258	285	258	340	258	285	340
843	258	285	258	340	258	285	340
844	258	285	258	340	258	285	340
845	258	285	258	340	258	285	340
846	258	285	258	340	258	285	340
847	258	285	258	340	258	285	340
848	258	285	258	340	258	285	340
849	258	285	258	340	258	285	340
850	258	285	258	340	258	285	340
851	258	285	258	340	258	285	340
852	258	285	258	340	258	285	340
